customer_id,full_name,date_of_birth,country,country_risk_level,customer_segment,kyc_status,pep_flag,customer_since
CUST000001,Amelia Taylor,1994-07-09,Turkey,High,Retail,Verified,0,2021-07-11
CUST000002,Maya Wilson,2004-07-03,United States,Low,Retail,Verified,0,2022-07-07
CUST000003,Mia Hussain,1979-12-08,United States,Low,SME,Verified,0,2022-08-14
CUST000004,Daniel Patel,1981-02-02,France,Low,Retail,Verified,0,2025-01-18
CUST000005,Maya Green,1993-01-09,Netherlands,Low,Retail,Verified,0,2024-07-02
CUST000006,Noah Davies,2002-08-15,Germany,Low,Private Banking,Verified,0,2024-05-26
CUST000007,Ethan Thomas,1962-05-07,Italy,Low,Retail,Verified,0,2022-11-24
CUST000008,Hannah Walker,1977-05-03,France,Low,Retail,Pending Review,0,2025-04-19
CUST000009,James Miller,2001-03-24,Spain,Low,Retail,Verified,0,2023-05-08
CUST000010,Hannah Ahmed,1945-01-12,Turkey,High,Retail,Verified,0,2025-01-20
CUST000011,Noah Ahmed,1957-01-26,Nigeria,High,Retail,Verified,0,2025-12-01
CUST000012,Maya Walker,1953-09-29,Spain,Low,Retail,Failed,0,2021-01-31
CUST000013,Leo Hussain,1993-08-06,Turkey,High,SME,Verified,0,2025-08-24
CUST000014,Oliver Wright,1974-11-12,Singapore,Low,Corporate,Verified,0,2022-12-12
CUST000015,Leo Wright,1961-05-08,France,Low,Corporate,Verified,0,2025-11-26
CUST000016,James Taylor,1969-03-27,Spain,Low,SME,Pending Review,0,2023-10-22
CUST000017,Ali Green,1992-05-17,Spain,Low,Retail,Verified,0,2021-02-14
CUST000018,Zara Thomas,1983-02-15,Spain,Low,Retail,Verified,0,2025-04-09
CUST000019,Noah Khan,1978-09-27,Nigeria,High,Retail,Verified,0,2021-06-15
CUST000020,Ali Wilson,1978-03-05,Germany,Low,Retail,Verified,0,2023-04-20
CUST000021,Daniel Brown,1956-04-24,Canada,Low,Retail,Verified,0,2021-09-07
CUST000022,Zara Miller,1996-06-19,Turkey,High,SME,Verified,0,2023-07-11
CUST000023,Noah Patel,1972-12-02,France,Low,Retail,Verified,0,2026-03-31
CUST000024,Oliver Ali,1997-03-21,United Kingdom,Low,Retail,Verified,0,2026-03-15
CUST000025,Muhammad Ali,1974-12-06,United States,Low,Retail,Verified,0,2022-10-26
CUST000026,James Hall,1971-04-07,United Arab Emirates,Medium,SME,Verified,0,2026-04-01
CUST000027,Grace Patel,1988-06-23,Italy,Low,SME,Verified,0,2021-09-12
CUST000028,Adam Smith,1976-10-02,Nigeria,High,Retail,Verified,0,2023-08-08
CUST000029,Amelia Walker,1968-03-27,United Arab Emirates,Medium,Retail,Verified,0,2021-04-28
CUST000030,Leo Wilson,1996-06-13,Nigeria,High,Retail,Verified,0,2026-02-23
CUST000031,Muhammad Young,1951-10-27,France,Low,Private Banking,Verified,0,2022-10-14
CUST000032,Amelia Brown,1995-05-14,Turkey,High,SME,Verified,0,2024-12-12
CUST000033,Amelia Wright,1981-08-07,India,Medium,Retail,Pending Review,0,2026-01-04
CUST000034,Isabella Ahmed,2003-07-18,Pakistan,Medium,Retail,Verified,0,2023-06-09
CUST000035,Fatima Green,1994-06-13,United Kingdom,Low,Retail,Verified,0,2024-02-14
CUST000036,Sophia Taylor,2003-01-17,India,Medium,Retail,Verified,0,2021-08-17
CUST000037,Oliver Ali,1978-05-03,France,Low,Retail,Verified,0,2021-04-24
CUST000038,Oliver Brown,1977-03-11,Italy,Low,Retail,Verified,0,2025-05-31
CUST000039,Aisha Wilson,1979-04-02,Italy,Low,Retail,Verified,0,2022-03-13
CUST000040,Leo Miller,1956-08-17,Netherlands,Low,Corporate,Verified,0,2025-07-12
CUST000041,Isabella Ali,1953-02-05,Germany,Low,Retail,Verified,0,2023-04-20
CUST000042,Grace Green,1953-07-31,Singapore,Low,Retail,Pending Review,0,2025-06-05
CUST000043,Isabella Brown,1965-09-12,Turkey,High,Retail,Verified,0,2024-03-29
CUST000044,Lucas Walker,1992-04-14,Pakistan,Medium,Retail,Pending Review,0,2024-11-04
CUST000045,Sophia Ali,1970-03-03,United Kingdom,Low,SME,Verified,0,2024-01-21
CUST000046,Maya Davies,1948-05-07,Netherlands,Low,Retail,Verified,0,2021-12-10
CUST000047,Aisha Smith,1983-05-10,United Arab Emirates,Medium,Retail,Verified,0,2026-02-14
