customer_id,full_name,customer_segment,customer_country,country_risk_level,kyc_status,pep_flag,transaction_count,total_transaction_amount,average_transaction_amount,max_transaction_amount,average_transaction_risk_score,max_transaction_risk_score,alert_count,critical_transaction_count,high_transaction_count,medium_transaction_count,watchlist_match_count,suspicious_label_count,customer_rule_based_risk_score,customer_risk_band,customer_review_priority
CUST000033,Amelia Wright,Retail,India,Medium,Pending Review,0,19,1322.31,69.6,289.43,47.21,100,17,3,4,10,2,10,100.0,Critical,P1
CUST000486,Isabella Khan,Retail,Nigeria,High,Pending Review,0,15,822.26,54.82,156.93,65.73,93,15,6,2,7,1,13,100.0,Critical,P1
CUST000412,Oliver Green,Retail,Netherlands,Low,Verified,0,14,8043.83,574.56,7105.88,70.21,100,14,6,6,2,14,3,100.0,Critical,P1
CUST000879,Fatima Hussain,Retail,Turkey,High,Pending Review,0,14,4644.88,331.78,4043.21,67.29,100,14,6,2,6,1,14,100.0,Critical,P1
CUST000077,Noah Jones,Retail,Pakistan,Medium,Verified,0,13,861.35,66.26,367.21,69.08,100,13,3,10,0,13,2,100.0,Critical,P1
CUST000580,Muhammad Ali,Retail,India,Medium,Pending Review,1,13,775.22,59.63,159.99,67.15,100,13,3,10,0,0,13,100.0,Critical,P1
CUST000679,Hannah Taylor,Retail,Nigeria,High,Verified,0,13,336.67,25.9,102.46,84.69,100,13,8,5,0,13,6,100.0,Critical,P1
CUST000497,Grace Ahmed,Retail,Nigeria,High,Verified,0,14,2803.07,200.22,2194.93,53.14,100,12,2,5,5,2,9,100.0,Critical,P1
CUST000860,Sophia Green,Retail,Turkey,High,Verified,0,12,587.95,49.0,191.12,80.67,100,12,5,7,0,12,5,100.0,Critical,P1
CUST000514,Leo Hall,Retail,Pakistan,Medium,Verified,0,11,4153.78,377.62,2127.91,77.45,100,11,6,5,0,11,4,100.0,Critical,P1
CUST000812,Muhammad Young,Retail,Spain,Low,Verified,0,11,613.24,55.75,188.94,65.36,83,11,3,8,0,11,0,100.0,Critical,P1
CUST000814,Adam Brown,Retail,Spain,Low,Pending Review,0,11,573.17,52.11,118.29,60.73,100,11,3,4,4,1,8,100.0,Critical,P1
CUST000137,Daniel Ahmed,Retail,Italy,Low,Verified,0,10,2587.43,258.74,1901.69,73.7,98,10,5,5,0,10,1,100.0,Critical,P1
