transaction_id,transaction_timestamp,customer_id,full_name,customer_master_country,country_risk_level,customer_segment,kyc_status,customer_master_pep_flag,account_id,account_type,account_status,merchant_id,merchant_name,merchant_category,merchant_country,merchant_country_risk_level,amount,currency,channel,transaction_type,status,cross_border_flag,high_amount_flag,unusual_hour_flag,high_risk_category_flag,high_risk_country_flag,kyc_issue_flag,pep_flag,watchlist_match_flag,watchlist_type,watchlist_risk_reason,suspicious_label,rule_based_risk_score,risk_band,alert_priority,should_create_alert,reason_codes,reason_count,scored_at
TXN00003093,2026-04-11 19:10:38,CUST000529,Fatima Ali,United States,Low,Private Banking,Pending Review,0,ACC000296,Current,Active,MER000242,Cash Withdrawal Merchant 242,Cash Withdrawal,Turkey,High,8682.63,GBP,E-Commerce,Transfer,Completed,1,1,0,1,1,1,0,0,,,1,100,Critical,P1,1,KYC_ISSUE; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; VERY_HIGH_AMOUNT; CROSS_BORDER_TRANSACTION; ELEVATED_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00003381,2026-06-29 02:00:10,CUST000456,Hannah Walker,Italy,Low,Retail,Verified,0,ACC000364,Current,Active,MER000161,Crypto Exchange Merchant 161,Crypto Exchange,Turkey,High,8326.71,GBP,E-Commerce,Purchase,Completed,1,1,1,1,1,0,0,0,,,1,100,Critical,P1,1,HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; VERY_HIGH_AMOUNT; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00003836,2026-04-13 01:37:29,CUST000044,Lucas Walker,Pakistan,Medium,Retail,Pending Review,0,ACC000104,Current,Active,MER000010,Luxury Goods Merchant 010,Luxury Goods,India,Medium,7977.41,USD,ATM,Transfer,Completed,1,1,1,1,0,1,0,0,,,1,100,Critical,P1,1,KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; VERY_HIGH_AMOUNT; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; ELEVATED_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; HIGH_AMOUNT_CROSS_BORDER_COMBINATION,9,2026-07-11T20:43:40
TXN00005443,2026-03-19 09:40:17,CUST000412,Oliver Green,Netherlands,Low,Retail,Verified,0,ACC001030,Business,Active,MER000160,Crypto Exchange Merchant 160,Crypto Exchange,Pakistan,Medium,7105.88,GBP,Mobile Banking,Purchase,Completed,1,1,0,1,0,0,0,1,Dummy PEP,Name appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; VERY_HIGH_AMOUNT; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION; WATCHLIST_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00000571,2026-04-14 02:56:18,CUST000572,Noah Taylor,Singapore,Low,Retail,Verified,0,ACC001280,Current,Active,MER000131,Crypto Exchange Merchant 131,Crypto Exchange,Turkey,High,6723.62,GBP,Card Present,Purchase,Completed,1,1,1,1,1,0,0,0,,,1,100,Critical,P1,1,HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; VERY_HIGH_AMOUNT; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00004274,2026-06-30 04:23:42,CUST000281,Leo Hall,India,Medium,Retail,Verified,0,ACC000936,Current,Active,MER000145,Crypto Exchange Merchant 145,Crypto Exchange,Turkey,High,6027.37,GBP,API,Purchase,Reversed,1,1,1,1,1,0,0,0,,,1,100,Critical,P1,1,HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; VERY_HIGH_AMOUNT; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; SENSITIVE_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; NON_STANDARD_TRANSACTION_STATUS; HIGH_AMOUNT_CROSS_BORDER_COMBINATION,10,2026-07-11T20:43:40
TXN00004290,2026-03-18 05:53:19,CUST000519,Oliver Thomas,Turkey,High,Retail,Failed,0,ACC000676,Current,Active,MER000071,Luxury Goods Merchant 071,Luxury Goods,United Arab Emirates,Medium,3561.53,GBP,API,Purchase,Completed,1,1,0,1,1,1,0,0,,,1,100,Critical,P1,1,KYC_ISSUE; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; CROSS_BORDER_TRANSACTION; ELEVATED_MERCHANT_CATEGORY; CHANNEL_MONITORING_FLAG; HIGH_AMOUNT_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00009944,2026-07-07 10:00:11,CUST000333,Maya Green,France,Low,Corporate,Pending Review,0,ACC000535,Current,Closed,MER000061,Crypto Exchange Merchant 061,Crypto Exchange,Germany,Low,3007.36,GBP,Mobile Banking,Cash Withdrawal,Completed,1,1,0,1,0,1,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; KYC_ISSUE; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION; WATCHLIST_CROSS_BORDER_COMBINATION,8,2026-07-11T20:43:40
TXN00001544,2026-05-14 19:18:46,CUST000759,Ethan Smith,Canada,Low,SME,Verified,0,ACC000269,Current,Active,MER000185,Gambling Merchant 185,Gambling,United States,Low,2562.11,USD,Mobile Banking,Transfer,Completed,1,1,0,1,0,0,0,1,Dummy Sanctions,Merchant appears on dummy watchlist,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; CROSS_BORDER_TRANSACTION; SENSITIVE_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION; WATCHLIST_CROSS_BORDER_COMBINATION,7,2026-07-11T20:43:40
TXN00005017,2026-02-04 02:37:05,CUST000497,Grace Ahmed,Nigeria,High,Retail,Verified,0,ACC000505,Business,Active,MER000143,Cash Withdrawal Merchant 143,Cash Withdrawal,Netherlands,Low,2194.93,GBP,E-Commerce,Purchase,Completed,1,1,1,1,1,0,0,1,Dummy Sanctions,Merchant category under dummy review,1,100,Critical,P1,1,WATCHLIST_MATCH; HIGH_RISK_COUNTRY; HIGH_RISK_MERCHANT_CATEGORY; HIGH_AMOUNT_TRANSACTION; CROSS_BORDER_TRANSACTION; UNUSUAL_HOUR_ACTIVITY; ELEVATED_MERCHANT_CATEGORY; HIGH_AMOUNT_CROSS_BORDER_COMBINATION; WATCHLIST_CROSS_BORDER_COMBINATION,9,2026-07-11T20:43:40
