ml_alert_id,ml_alert_status,ml_alert_type,ml_alert_priority,ml_alert_owner,ml_recommended_action,transaction_id,transaction_timestamp,customer_id,full_name,account_id,merchant_id,merchant_name,merchant_category,amount,currency,channel,status,rule_based_risk_score,risk_band,alert_priority,ml_anomaly_score,anomaly_score_percentile,ml_anomaly_flag,ml_anomaly_band,ml_reason_codes,combined_risk_signal,suspicious_label,ml_scored_at
ML-ANOMALY-000001,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003836,2026-04-13 01:37:29,CUST000044,Lucas Walker,ACC000104,MER000010,Luxury Goods Merchant 010,Luxury Goods,7977.41,USD,ATM,Completed,100,Critical,P1,0.09971922422962809,100.0,1,Critical,UNUSUALLY_HIGH_AMOUNT; UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000002,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00007282,2026-02-21 00:32:00,CUST000066,Aisha Clarke,ACC000414,MER000046,Luxury Goods Merchant 046,Luxury Goods,8166.93,EUR,ATM,Pending,87,Critical,P1,0.09211541891895403,99.99,1,Critical,UNUSUALLY_HIGH_AMOUNT; UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000003,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00002690,2026-06-16 01:25:46,CUST000953,Aisha Green,ACC001289,MER000108,Money Transfer Merchant 108,Money Transfer,25.54,USD,Mobile Banking,Pending,48,Medium,P3,0.08140444067493702,99.98,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000004,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00003371,2026-03-09 04:46:15,CUST000267,Oliver Davies,ACC001239,MER000158,Pharmacy Merchant 158,Pharmacy,19.54,GBP,Branch,Reversed,15,Low,No Alert,0.07145042792406398,99.97,1,Critical,UNUSUAL_TRANSACTION_HOUR; TOP_1_PERCENT_ANOMALY_SCORE,ML Only,0,2026-07-11T20:44:26
ML-ANOMALY-000005,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005014,2026-04-07 00:36:18,CUST000120,Daniel Green,ACC001254,MER000130,Restaurants Merchant 130,Restaurants,2435.39,USD,Card Present,Completed,61,High,P2,0.07138225254399744,99.96,1,Critical,UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000006,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00009518,2026-02-12 08:45:16,CUST000993,Aisha Thomas,ACC001136,MER000124,Travel Merchant 124,Travel,41.08,GBP,ATM,Failed,30,Medium,P3,0.06741029272999455,99.95,1,Critical,KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,0,2026-07-11T20:44:26
ML-ANOMALY-000007,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00008189,2026-03-02 08:41:04,CUST000527,Grace Hussain,ACC000421,MER000161,Crypto Exchange Merchant 161,Crypto Exchange,4695.25,GBP,Card Present,Failed,66,High,P2,0.06547952746512375,99.94,1,Critical,HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000008,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00005761,2026-02-09 10:16:45,CUST000809,Aisha Hall,ACC001171,MER000210,Gambling Merchant 210,Gambling,191.2,EUR,Branch,Pending,58,High,P2,0.06398404996140683,99.93,1,Critical,CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; KYC_RISK_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
ML-ANOMALY-000009,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00002315,2026-03-17 06:19:59,CUST000146,Adam Patel,ACC000851,MER000130,Restaurants Merchant 130,Restaurants,82.38,EUR,Card Present,Pending,18,Low,No Alert,0.06292110921078087,99.92,1,Critical,TOP_1_PERCENT_ANOMALY_SCORE,ML Only,0,2026-07-11T20:44:26
ML-ANOMALY-000010,Open,Isolation Forest Transaction Anomaly,P1,Financial Crime Senior Analyst,"Immediate investigation required. Review anomaly score, customer profile, rule score, and transaction context.",TXN00004274,2026-06-30 04:23:42,CUST000281,Leo Hall,ACC000936,MER000145,Crypto Exchange Merchant 145,Crypto Exchange,6027.37,GBP,API,Reversed,100,Critical,P1,0.06273858139086508,99.91,1,Critical,UNUSUALLY_HIGH_AMOUNT; UNUSUAL_TRANSACTION_HOUR; CROSS_BORDER_PATTERN; HIGH_RISK_MERCHANT_CATEGORY_PATTERN; TOP_1_PERCENT_ANOMALY_SCORE,Rule and ML,1,2026-07-11T20:44:26
